suburb,rent
62,660
40,600
3496,795
89,490
61,895
89,565
122,460
135,380
89,440
130,490
40,440
142,525
61,1000
41,440
41,440
136,800
89,420
138,420
99,400
89,495
17,650
89,350
393,430
132,685
90,420
40,990
39,290
99,320
87,430
393,195
41,1750
89,720
89,420
89,850
89,650
89,370
89,499
338,180
89,850
89,550
89,550
89,980
89,900
89,950
393,310
129,330
41,395
89,980
135,480
89,470
89,385
89,185
149,160
123,230
123,470
90,920
16,370
130,440
83,850
125,470
40,2100
123,350
142,350
89,450
89,410
89,299
141,590
89,1700
322,575
129,625
149,450
62,395
87,400
3258,380
89,395
89,500
89,565
89,350
322,675
120,390
315,480
83,780
128,430
84,985
89,390
89,350
39,700
40,590
338,320
41,425
120,550
40,2200
89,350
89,750
141,415
39,720
89,535
40,850
99,665
125,485
128,480
40,950
129,795
89,435
87,460
40,540
125,320
89,1650
91,1350
89,750
89,780
62,650
87,900
315,480
120,450
3167,460
128,330
84,1300
89,320
141,600
42,495
130,500
89,470
141,470
90,770
39,575
322,1500
89,590
149,250
17,650
41,55
322,600
90,625
132,600
90,330
89,420
89,450
149,200
338,350
89,170
89,540
87,1475
17,380
61,250
315,430
125,760
129,170
120,500
135,500
89,260
89,320
40,850
89,600
40,345
90,850
90,83
40,645
288,560
315,560
393,559
338,595
42,750
42,480
121,490
89,360
120,460
90,380
89,170
89,890
89,650
89,850
123,235
136,350
89,330
89,330
40,1250
17,440
89,700
89,770
89,1100
89,310
125,600
89,1000
136,495
89,185
141,80
89,470
89,770
89,650
89,1190
90,200
90,200
288,175
89,335
3258,600
3258,490
89,349
393,195
3258,340
89,350
89,450
89,400
83,1500
89,165
40,1000
141,340
40,650
129,430
317,485
125,775
315,400
17,420
131,800
40,550
138,550
120,380
149,430
89,500
89,600
131,600
141,450
132,580
17,650
82,420
128,395
16,600
120,800
290,330
141,570
141,470
149,240
89,1800
90,660
125,530
62,1700
322,700
131,430
42,725
89,380
130,340
120,450
90,430
130,710
99,1000
40,1500
393,450
89,1595
84,660
138,410
3496,780
89,360
338,330
132,510
42,900
129,210
149,350
89,440
128,400
130,240
17,460
109,680
90,365
130,630
89,330
90,440
132,600
3496,780
86,820
41,400
315,650
89,360
315,350
90,450
89,445
83,360
83,450
123,335
84,380
89,600
89,420
42,950
41,795
89,380
41,450
129,775
40,450
85,560
40,540
87,600
84,600
393,380
138,350
89,320
41,570
89,460
131,520
42,750
315,440
40,850
316,300
89,330
61,390
123,390
316,280
130,350
141,795
338,320
41,999
393,550
89,330
89,330
338,480
89,650
16,500
40,1300
84,380
149,415
125,630
17,700
89,475
89,420
316,250
120,540
84,1600
125,875
89,350
141,390
149,399
42,500
129,620
393,400
40,795
120,800
3167,475
288,570
120,365
129,470
315,370
83,610
393,550
16,530
16,530
17,595
149,300
315,450
90,410
122,795
131,795
3167,480
128,600
315,425
83,400
315,400
120,380
89,390
120,690
89,350
89,620
89,340
62,550
16,730
125,300
123,350
87,780
138,340
40,1200
123,380
62,660
88,950
132,690
89,350
89,650
149,150
135,600
89,360
40,480
89,420
123,680
42,675
90,360
141,460
288,395
16,1250
87,640
125,460
62,560
89,340
393,595
125,900
16,470
393,495
130,595
61,400
132,575
90,360
89,440
89,800
40,570
40,450
87,575
62,620
99,560
393,420
102,275
315,350
90,270
17,450
86,420
132,620
316,550
337,550
3496,690
40,440
87,560
121,580
41,675
393,350
17,650
89,290
3167,540
90,320
40,1400
89,580
89,530
84,620
288,500
129,380
122,420
89,350
89,375
3167,450
89,310
89,535
89,425
89,519
141,425
89,350
89,320
102,520
89,420
89,420
89,185
135,550
39,395
89,300
40,3000
135,335
89,740
128,220
120,580
89,2310
89,399
62,370
89,320
40,1600
338,400
3167,625
40,820
40,1400
17,800
149,430
40,780
61,320
132,480
89,820
141,435
120,520
89,365
393,495
17,925
87,410
41,380
42,950
130,250
315,380
129,795
89,400
90,390
40,1190
89,320
89,650
120,420
89,470
142,345
61,450
322,1050
89,270
129,300
84,1200
315,280
89,460
61,450
40,620
141,310
42,1100
129,335
125,795
120,540
125,410
40,1300
40,895
125,575
315,465
337,450
120,350
109,950
316,390
315,620
288,520
90,290
132,365
120,350
136,350
42,230
87,370
136,345
89,580
89,650
149,430
120,630
83,1070
125,625
89,440
89,350
3496,700
17,685
89,385
125,760
90,530
89,450
89,460
40,580
125,760
62,950
89,650
89,280
89,460
129,550
89,385
89,420
89,350
125,620
90,1100
89,360
89,440
109,700
122,395
89,240
39,650
90,410
41,750
40,950
89,1500
90,310
149,399
149,399
315,790
84,850
125,430
89,450
16,750
121,495
90,300
89,410
338,250
122,480
149,450
62,550
125,690
40,1900
89,460
87,900
42,800
130,500
41,575
16,480
90,490
85,450
322,1300
130,450
89,345
135,560
90,285
149,1000
89,1500
87,780
125,1450
89,640
88,460
394,799
120,650
141,515
89,530
16,850
125,695
125,1450
42,710
122,715
89,550
3167,495
322,650
129,460
120,460
89,600
90,420
99,875
89,700
89,410
89,450
83,1550
135,650
89,550
142,575
40,590
17,850
125,1250
90,630
89,420
123,380
87,900
322,950
40,600
3258,430
136,420
89,420
89,760
136,790
82,630
89,420
40,360
40,795
141,320
89,545
41,320
316,365
17,675
17,380
132,410
129,495
3167,370
338,400
90,280
123,550
89,430
16,325
132,550
393,365
128,450
90,395
129,520
41,1200
338,190
393,360
89,60
89,570
40,780
109,1195
99,485
122,480
89,320
62,630
141,385
141,550
338,499
40,760
130,750
99,650
3496,680
89,390
136,360
40,795
40,360
136,320
135,370
132,650
16,1050
42,610
40,550
120,580
